               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11114,            0.027127,            0.036846,            0.011806,             0.89474,            0.035831,           0.0091554,             0.08145,            0.012931,            0.031677,              0.0901,              0.0011,              0.0011
                   1,             0.09157,             0.03493,            0.026566,              0.1297,             0.78947,             0.30441,            0.080788,            0.066063,            0.013247,            0.014123,            0.079285,           0.0022848,           0.0022848
                   2,            0.076587,            0.036999,            0.016062,             0.37272,             0.63158,             0.53513,             0.20315,            0.055068,            0.011255,           0.0038309,            0.068454,           0.0034538,           0.0034538
                   3,            0.068883,            0.029707,           0.0088598,              0.1962,             0.73684,             0.22422,              0.1028,            0.063406,            0.014786,           0.0010747,            0.057607,           0.0046069,           0.0046069
                   4,            0.067902,            0.025408,           0.0061214,             0.52354,             0.63158,              0.6858,             0.34971,            0.070038,            0.010777,          0.00089793,            0.046744,           0.0057442,           0.0057442
                   5,            0.067661,            0.023595,           0.0058194,              0.5916,             0.73684,             0.65036,             0.32782,            0.064524,           0.0076457,           0.0010738,            0.035866,           0.0068657,           0.0068657
                   6,            0.067089,            0.023627,           0.0045672,               0.493,             0.97272,               0.642,             0.37889,            0.067583,           0.0062994,           0.0013267,            0.024971,           0.0079713,           0.0079713
                   7,             0.07336,            0.024378,           0.0051417,             0.47741,             0.84211,             0.69295,             0.31542,            0.051057,           0.0064881,           0.0015701,            0.014061,           0.0090611,           0.0090611
                   8,            0.061261,            0.025148,           0.0049588,             0.74918,             0.73684,             0.85144,             0.38853,            0.055428,           0.0056829,            0.001402,            0.009472,            0.009472,            0.009472
                   9,            0.060786,            0.021595,           0.0052994,             0.66784,             0.84211,             0.82265,             0.32649,            0.049076,           0.0055811,           0.0015869,            0.009472,            0.009472,            0.009472
                  10,            0.055387,            0.023129,           0.0046672,             0.71857,             0.63158,             0.73524,             0.25981,            0.062345,           0.0055334,           0.0014749,            0.009406,            0.009406,            0.009406
                  11,            0.056678,            0.021681,           0.0047012,             0.61179,             0.63158,             0.74143,             0.29761,            0.043907,           0.0054405,           0.0015701,             0.00934,             0.00934,             0.00934
                  12,            0.049971,             0.02053,           0.0042401,             0.53452,             0.84211,             0.69298,             0.39533,            0.043504,           0.0052447,           0.0017358,            0.009274,            0.009274,            0.009274
                  13,             0.04789,            0.019385,           0.0039529,             0.51045,             0.78947,              0.5534,             0.40684,            0.048545,           0.0050924,           0.0015999,            0.009208,            0.009208,            0.009208
                  14,            0.049538,            0.020853,           0.0052366,             0.64876,              0.8754,             0.82098,             0.48981,            0.038294,           0.0046562,           0.0018139,            0.009142,            0.009142,            0.009142
                  15,            0.043214,            0.020135,           0.0047907,             0.59717,             0.89474,             0.78901,             0.49823,            0.037945,           0.0045738,           0.0017212,            0.009076,            0.009076,            0.009076
                  16,            0.044212,            0.019164,           0.0041091,             0.83791,             0.89474,             0.90335,             0.57349,            0.032112,           0.0043937,           0.0017723,             0.00901,             0.00901,             0.00901
                  17,            0.043443,            0.020228,           0.0042393,             0.88902,             0.89474,              0.9442,             0.66957,            0.033558,            0.004295,           0.0017012,            0.008944,            0.008944,            0.008944
                  18,            0.040418,            0.018054,           0.0037653,             0.84361,             0.85215,             0.91273,             0.63418,            0.029616,           0.0044153,           0.0017488,            0.008878,            0.008878,            0.008878
                  19,            0.039551,            0.018386,           0.0030419,             0.82782,             0.89474,             0.92531,             0.64254,            0.040517,           0.0042178,           0.0017707,            0.008812,            0.008812,            0.008812
                  20,            0.040332,            0.017523,           0.0029393,             0.99238,             0.94737,              0.9925,              0.6981,            0.024304,           0.0040198,           0.0017467,            0.008746,            0.008746,            0.008746
                  21,            0.038898,            0.016955,           0.0035641,             0.85391,             0.89474,             0.96087,             0.67326,            0.039222,           0.0041848,           0.0019207,             0.00868,             0.00868,             0.00868
                  22,            0.038759,            0.017134,           0.0042647,             0.91204,             0.94737,             0.95143,             0.60987,             0.02772,           0.0040752,           0.0017974,            0.008614,            0.008614,            0.008614
                  23,            0.037572,            0.016859,           0.0039068,             0.94735,                   1,              0.9925,             0.77116,             0.03135,            0.003941,            0.001827,            0.008548,            0.008548,            0.008548
                  24,            0.036377,            0.017432,           0.0029847,             0.94989,              0.9978,              0.9875,             0.77989,             0.02578,            0.003877,           0.0018175,            0.008482,            0.008482,            0.008482
                  25,            0.035323,            0.016304,           0.0028777,             0.86175,                   1,             0.98292,             0.66428,            0.033052,           0.0040947,           0.0017611,            0.008416,            0.008416,            0.008416
                  26,            0.035537,            0.016832,           0.0024698,             0.99105,             0.94737,             0.99024,             0.73987,            0.027005,           0.0040025,           0.0015677,             0.00835,             0.00835,             0.00835
                  27,            0.034311,             0.01594,           0.0025796,             0.81721,             0.94737,             0.94026,             0.73255,            0.027479,            0.004004,           0.0016334,            0.008284,            0.008284,            0.008284
                  28,            0.034252,            0.015905,           0.0025951,                   1,              0.9392,             0.99024,             0.79063,            0.025034,           0.0038697,           0.0017138,            0.008218,            0.008218,            0.008218
                  29,            0.032662,            0.017074,           0.0025832,             0.94991,             0.99822,              0.9845,             0.75203,            0.028456,           0.0038126,           0.0016007,            0.008152,            0.008152,            0.008152
                  30,            0.033363,              0.0156,           0.0026515,             0.99222,             0.94737,              0.9863,             0.75215,            0.027628,           0.0038174,           0.0016467,            0.008086,            0.008086,            0.008086
                  31,            0.033084,             0.01622,           0.0026793,                   1,             0.99785,               0.995,             0.69432,            0.026891,           0.0037015,           0.0016122,             0.00802,             0.00802,             0.00802
                  32,            0.032953,            0.014572,           0.0038922,             0.99252,             0.94737,              0.9925,             0.79325,            0.020211,           0.0034504,           0.0015447,            0.007954,            0.007954,            0.007954
                  33,            0.030663,            0.014626,           0.0023638,             0.99128,                   1,               0.995,             0.77491,            0.027887,           0.0035603,           0.0014791,            0.007888,            0.007888,            0.007888
                  34,             0.03147,            0.015966,           0.0021039,             0.99157,                   1,               0.995,             0.81081,             0.02141,           0.0034398,            0.001346,            0.007822,            0.007822,            0.007822
                  35,            0.031922,            0.014805,           0.0023005,             0.99958,                   1,               0.995,             0.79696,            0.025579,           0.0035449,            0.001393,            0.007756,            0.007756,            0.007756
                  36,            0.031081,            0.015044,           0.0023211,             0.99808,                   1,               0.995,             0.80914,            0.019979,           0.0034359,           0.0013964,             0.00769,             0.00769,             0.00769
                  37,            0.031021,            0.016038,           0.0023363,             0.99934,                   1,               0.995,             0.73371,            0.032329,           0.0036828,           0.0013877,            0.007624,            0.007624,            0.007624
                  38,            0.031363,            0.015038,           0.0019435,             0.99864,                   1,               0.995,             0.77462,             0.01968,           0.0035552,           0.0013613,            0.007558,            0.007558,            0.007558
                  39,            0.030096,            0.015482,           0.0020797,                   1,             0.99439,               0.995,             0.77004,            0.026906,           0.0040355,           0.0014332,            0.007492,            0.007492,            0.007492
                  40,            0.027707,            0.014401,           0.0027343,             0.99789,             0.94737,             0.99024,             0.81457,            0.021845,           0.0038361,           0.0012881,            0.007426,            0.007426,            0.007426
                  41,            0.028166,            0.013773,           0.0020975,                   1,             0.94053,             0.99024,             0.77754,            0.026856,           0.0043644,           0.0012896,             0.00736,             0.00736,             0.00736
                  42,            0.029051,            0.014242,           0.0016062,              0.9804,                   1,               0.995,             0.85015,            0.020783,           0.0036461,           0.0012183,            0.007294,            0.007294,            0.007294
                  43,            0.029343,             0.01399,           0.0015946,                   1,             0.94308,              0.9925,             0.80693,             0.02508,           0.0040354,           0.0012935,            0.007228,            0.007228,            0.007228
                  44,              0.0289,            0.014764,           0.0014988,             0.94969,             0.99371,                0.99,             0.84254,            0.021032,           0.0041961,           0.0013327,            0.007162,            0.007162,            0.007162
                  45,            0.027426,             0.01397,           0.0015398,             0.94402,                   1,                0.99,             0.82176,             0.02398,           0.0037813,           0.0013377,            0.007096,            0.007096,            0.007096
                  46,            0.027426,            0.015375,            0.001748,             0.99586,                   1,               0.995,             0.85486,            0.023523,           0.0035399,            0.001289,             0.00703,             0.00703,             0.00703
                  47,            0.027446,            0.014166,             0.00332,             0.99653,                   1,               0.995,             0.83727,            0.019474,            0.003715,           0.0012679,            0.006964,            0.006964,            0.006964
                  48,            0.027914,            0.013398,           0.0022723,                   1,              0.9987,               0.995,              0.8412,             0.02507,           0.0041262,           0.0012464,            0.006898,            0.006898,            0.006898
                  49,            0.027105,            0.014029,           0.0015578,             0.99965,                   1,               0.995,             0.83072,            0.020002,           0.0038038,           0.0011703,            0.006832,            0.006832,            0.006832
                  50,            0.026885,            0.013832,           0.0023262,             0.99738,                   1,               0.995,              0.8178,            0.026123,           0.0036008,           0.0011024,            0.006766,            0.006766,            0.006766
                  51,            0.027707,            0.014023,           0.0014403,                   1,             0.99496,               0.995,             0.84826,            0.017681,           0.0040662,            0.001125,              0.0067,              0.0067,              0.0067
                  52,             0.02727,            0.014093,           0.0013796,             0.99513,             0.94737,              0.9925,             0.77929,            0.022929,             0.00384,           0.0011352,            0.006634,            0.006634,            0.006634
                  53,            0.026874,            0.013623,           0.0014897,             0.99483,             0.94737,               0.983,             0.83686,            0.016753,           0.0038631,           0.0011486,            0.006568,            0.006568,            0.006568
                  54,            0.025369,            0.013849,           0.0013688,             0.99514,             0.94737,              0.9863,             0.82568,            0.021789,           0.0038829,           0.0011275,            0.006502,            0.006502,            0.006502
                  55,            0.025765,            0.012722,           0.0015356,              0.9951,             0.94737,              0.9863,             0.81537,            0.021434,           0.0038977,           0.0010307,            0.006436,            0.006436,            0.006436
                  56,            0.026643,            0.013429,           0.0016533,                   1,             0.99748,               0.995,             0.80632,            0.021908,           0.0037392,           0.0011044,             0.00637,             0.00637,             0.00637
                  57,            0.025041,            0.013847,            0.001447,             0.99555,             0.94737,             0.99024,             0.81559,            0.016934,           0.0035436,           0.0010521,            0.006304,            0.006304,            0.006304
                  58,            0.023859,            0.013142,           0.0012136,             0.94969,             0.99375,              0.9925,             0.79426,            0.022075,           0.0036273,           0.0010373,            0.006238,            0.006238,            0.006238
                  59,            0.026203,            0.013738,           0.0012408,             0.99456,             0.94737,              0.9863,             0.80971,            0.017919,           0.0035583,           0.0010425,            0.006172,            0.006172,            0.006172
                  60,            0.024938,            0.013094,           0.0015672,             0.99361,             0.94737,             0.98818,             0.80142,            0.020269,           0.0038095,           0.0010499,            0.006106,            0.006106,            0.006106
                  61,            0.024239,            0.013505,           0.0014115,             0.99488,             0.94737,              0.9863,             0.82672,            0.017507,           0.0039679,           0.0010168,             0.00604,             0.00604,             0.00604
                  62,             0.02499,            0.013752,           0.0014276,             0.99566,             0.94737,             0.99024,             0.82271,            0.021672,           0.0041887,           0.0010227,            0.005974,            0.005974,            0.005974
