               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.071714,            0.018387,            0.040789,             0.89766,             0.23121,             0.29509,             0.12949,            0.043255,           0.0076727,            0.026658,            0.070254,           0.0033051,           0.0033051
                   1,            0.048449,            0.013046,            0.017327,              0.7865,             0.38175,             0.37745,             0.22619,             0.03896,           0.0052423,              0.0114,            0.040189,           0.0065727,           0.0065727
                   2,             0.04162,            0.010076,            0.010123,             0.91617,              0.4083,             0.44412,             0.28265,            0.033049,           0.0053978,            0.010912,            0.010057,           0.0097743,           0.0097743
                   3,            0.035645,           0.0094313,           0.0084998,             0.88571,              0.3312,              0.3796,             0.25984,             0.02697,            0.005434,            0.030346,            0.009703,            0.009703,            0.009703
                   4,            0.032154,            0.009114,           0.0074792,             0.94242,             0.42015,             0.49955,              0.3355,             0.02864,           0.0050966,            0.008987,            0.009703,            0.009703,            0.009703
                   5,            0.030138,           0.0088213,           0.0064303,             0.95993,             0.45029,             0.49359,             0.34939,            0.024531,           0.0046574,           0.0069369,            0.009604,            0.009604,            0.009604
                   6,            0.028195,           0.0084606,           0.0055115,             0.91064,             0.52501,             0.59446,             0.43962,            0.023282,           0.0048613,           0.0087345,            0.009505,            0.009505,            0.009505
                   7,            0.027039,           0.0083134,           0.0049448,             0.92845,             0.52737,             0.58802,             0.45557,            0.020721,            0.004062,           0.0058768,            0.009406,            0.009406,            0.009406
                   8,            0.025746,           0.0079674,           0.0042321,             0.93612,             0.55965,             0.60547,             0.47914,            0.019959,           0.0038789,           0.0058454,            0.009307,            0.009307,            0.009307
                   9,            0.024961,           0.0079696,           0.0039088,             0.87615,             0.60256,             0.61673,             0.47331,            0.019857,           0.0040276,           0.0088248,            0.009208,            0.009208,            0.009208
                  10,            0.024111,           0.0076567,           0.0035146,             0.97356,             0.57285,             0.63091,             0.50941,            0.017847,           0.0037436,           0.0039595,            0.009109,            0.009109,            0.009109
                  11,            0.023343,           0.0075667,           0.0035689,             0.94343,             0.58352,              0.6288,             0.48701,            0.017891,           0.0036282,           0.0055913,             0.00901,             0.00901,             0.00901
                  12,            0.023026,           0.0076449,           0.0033395,             0.92226,             0.59836,             0.63515,             0.50444,            0.017956,           0.0037212,            0.004511,            0.008911,            0.008911,            0.008911
                  13,            0.022335,           0.0072924,           0.0027376,             0.95786,             0.59536,             0.63456,             0.50414,            0.017176,           0.0035242,           0.0033498,            0.008812,            0.008812,            0.008812
                  14,            0.022096,            0.007232,             0.00281,             0.93313,             0.57101,             0.61079,             0.47804,            0.017248,           0.0037344,           0.0070571,            0.008713,            0.008713,            0.008713
                  15,            0.021862,            0.007258,           0.0027919,             0.95756,             0.59258,             0.63929,             0.49927,             0.01655,           0.0037167,           0.0049931,            0.008614,            0.008614,            0.008614
                  16,            0.021316,           0.0070456,           0.0025564,             0.94481,             0.60741,             0.63913,             0.52787,            0.015466,           0.0032928,            0.003277,            0.008515,            0.008515,            0.008515
                  17,            0.021122,           0.0070978,             0.00259,             0.89902,             0.55935,             0.60451,             0.48706,            0.018002,           0.0038876,           0.0086711,            0.008416,            0.008416,            0.008416
                  18,            0.020882,           0.0069827,           0.0026789,             0.95077,             0.59875,             0.64947,             0.53385,            0.015685,            0.003367,           0.0032244,            0.008317,            0.008317,            0.008317
                  19,            0.020723,            0.007013,           0.0025677,             0.93792,             0.59311,             0.64903,               0.542,            0.015038,           0.0031653,           0.0038043,            0.008218,            0.008218,            0.008218
                  20,            0.020304,           0.0067758,            0.002377,             0.95717,             0.57932,             0.64069,             0.53618,            0.014797,           0.0032312,           0.0038302,            0.008119,            0.008119,            0.008119
                  21,            0.020167,           0.0068416,           0.0024328,             0.91264,             0.56716,             0.61856,             0.51237,            0.015763,           0.0035248,           0.0052244,             0.00802,             0.00802,             0.00802
                  22,            0.019965,           0.0067653,           0.0019007,             0.95543,             0.62503,             0.64982,             0.55147,            0.014594,           0.0031217,           0.0029924,            0.007921,            0.007921,            0.007921
                  23,            0.019774,           0.0066941,           0.0019547,             0.93806,             0.62866,             0.64224,             0.54796,            0.014314,           0.0030732,           0.0021371,            0.007822,            0.007822,            0.007822
                  24,            0.019483,           0.0065946,           0.0021212,             0.94655,             0.60493,             0.63297,             0.52962,            0.014154,           0.0029783,           0.0023818,            0.007723,            0.007723,            0.007723
                  25,            0.019124,           0.0066012,           0.0016042,             0.94603,             0.60799,             0.65643,             0.55662,            0.014036,           0.0031051,           0.0036758,            0.007624,            0.007624,            0.007624
                  26,            0.018909,           0.0065238,           0.0017691,             0.93119,             0.62258,             0.65715,             0.56345,            0.013823,           0.0030745,           0.0024275,            0.007525,            0.007525,            0.007525
                  27,            0.018781,           0.0063949,           0.0017633,             0.98269,              0.6044,             0.64915,             0.56524,            0.013369,           0.0029438,           0.0023251,            0.007426,            0.007426,            0.007426
                  28,            0.018537,           0.0064492,           0.0019888,             0.89431,             0.57297,             0.62088,             0.52534,            0.015321,           0.0034709,            0.020868,            0.007327,            0.007327,            0.007327
                  29,            0.018791,           0.0065227,           0.0017334,             0.93031,             0.61631,             0.63907,             0.53447,              0.0156,           0.0033891,           0.0028263,            0.007228,            0.007228,            0.007228
                  30,            0.018415,           0.0063465,           0.0016658,             0.95408,             0.61795,             0.64582,             0.55613,            0.013688,           0.0029917,           0.0026362,            0.007129,            0.007129,            0.007129
                  31,            0.018283,           0.0063271,           0.0017503,             0.95604,             0.61525,             0.64664,             0.55681,            0.013111,            0.002908,            0.002476,             0.00703,             0.00703,             0.00703
                  32,            0.018093,           0.0062714,           0.0015117,             0.93492,             0.58945,             0.61708,             0.52933,            0.013539,           0.0030052,           0.0031072,            0.006931,            0.006931,            0.006931
                  33,            0.017956,           0.0062985,           0.0015219,             0.94132,             0.62537,             0.65958,             0.57399,            0.013139,           0.0028967,           0.0029006,            0.006832,            0.006832,            0.006832
                  34,            0.017968,           0.0062372,           0.0014798,             0.94662,             0.62185,             0.63875,             0.54355,            0.013872,           0.0030833,           0.0023213,            0.006733,            0.006733,            0.006733
                  35,            0.017526,            0.006139,           0.0015124,             0.94899,             0.62795,              0.6531,             0.56364,            0.012855,           0.0027963,           0.0024597,            0.006634,            0.006634,            0.006634
                  36,            0.017623,           0.0062314,            0.001495,             0.95399,             0.60584,             0.64517,             0.57289,            0.012882,           0.0027633,           0.0023906,            0.006535,            0.006535,            0.006535
                  37,             0.01764,           0.0062675,           0.0013933,             0.95669,             0.61577,             0.63877,             0.55226,            0.013723,           0.0030427,           0.0029238,            0.006436,            0.006436,            0.006436
                  38,            0.017508,           0.0062192,           0.0013711,             0.95838,             0.61894,             0.64198,             0.55874,            0.012584,           0.0027652,           0.0020384,            0.006337,            0.006337,            0.006337
                  39,            0.017258,           0.0060243,           0.0014094,             0.95576,               0.614,             0.64493,             0.56088,            0.013496,           0.0029675,           0.0023081,            0.006238,            0.006238,            0.006238
                  40,            0.017206,           0.0061668,           0.0013438,             0.94894,             0.62033,             0.65029,             0.56951,            0.013335,           0.0029945,            0.002284,            0.006139,            0.006139,            0.006139
                  41,            0.016848,           0.0060611,            0.001245,             0.96808,             0.61425,             0.65175,             0.57316,            0.012447,           0.0027813,           0.0025259,             0.00604,             0.00604,             0.00604
                  42,            0.017144,           0.0060455,           0.0014167,             0.93419,             0.62836,             0.65631,             0.58509,            0.012159,           0.0026455,           0.0019571,            0.005941,            0.005941,            0.005941
                  43,            0.016857,           0.0060105,           0.0012893,             0.93616,             0.62797,             0.65115,             0.56316,            0.012363,           0.0027065,           0.0019175,            0.005842,            0.005842,            0.005842
                  44,            0.016667,           0.0059735,            0.001368,             0.94951,             0.61757,             0.66025,             0.58186,            0.012377,           0.0027228,           0.0021217,            0.005743,            0.005743,            0.005743
                  45,            0.016605,           0.0059332,           0.0013587,             0.95018,             0.61438,             0.64877,             0.57865,             0.01198,            0.002663,           0.0021343,            0.005644,            0.005644,            0.005644
                  46,            0.016477,           0.0059117,           0.0012059,              0.9621,             0.62621,             0.64964,              0.5782,            0.011878,           0.0026618,           0.0019561,            0.005545,            0.005545,            0.005545
                  47,            0.016204,           0.0058248,           0.0013271,             0.94874,             0.61466,             0.64583,             0.57657,            0.011991,           0.0027038,           0.0034621,            0.005446,            0.005446,            0.005446
                  48,            0.015939,           0.0057568,          0.00098402,             0.93705,             0.62793,             0.66146,             0.59296,             0.01172,           0.0026056,           0.0017991,            0.005347,            0.005347,            0.005347
                  49,            0.016325,             0.00592,           0.0013125,             0.96722,             0.62108,             0.65341,             0.58441,             0.01188,           0.0026523,           0.0019419,            0.005248,            0.005248,            0.005248
                  50,            0.016099,           0.0057771,           0.0012006,             0.94189,             0.62191,              0.6476,             0.57825,              0.0118,           0.0026694,           0.0020102,            0.005149,            0.005149,            0.005149
                  51,            0.015905,            0.005754,           0.0012886,             0.94337,             0.62433,              0.6423,              0.5754,            0.011666,           0.0025746,           0.0026601,             0.00505,             0.00505,             0.00505
                  52,            0.015904,           0.0056789,          0.00099065,             0.93887,             0.62811,             0.64594,             0.57723,            0.011551,            0.002581,           0.0021316,            0.004951,            0.004951,            0.004951
                  53,            0.015757,            0.005737,          0.00094028,             0.92697,             0.64001,             0.66851,             0.59703,             0.01159,           0.0026206,           0.0020635,            0.004852,            0.004852,            0.004852
                  54,            0.015962,           0.0057539,           0.0011825,             0.95169,             0.62542,              0.6595,             0.59498,            0.011761,           0.0026509,           0.0021273,            0.004753,            0.004753,            0.004753
                  55,            0.015587,           0.0056496,           0.0009462,             0.92166,             0.64451,             0.64624,             0.57382,            0.012116,           0.0027579,           0.0022114,            0.004654,            0.004654,            0.004654
                  56,            0.015461,           0.0056312,          0.00093404,             0.94096,             0.62983,             0.64317,             0.57321,            0.011364,           0.0025594,           0.0016056,            0.004555,            0.004555,            0.004555
                  57,            0.015219,           0.0056989,           0.0010591,             0.93104,             0.62781,             0.65467,              0.5874,            0.011624,            0.002628,            0.001688,            0.004456,            0.004456,            0.004456
                  58,             0.01526,           0.0056102,          0.00094627,             0.93511,             0.62796,             0.65727,             0.59518,            0.011088,           0.0024617,           0.0015673,            0.004357,            0.004357,            0.004357
                  59,            0.015226,           0.0056645,          0.00096057,             0.96131,             0.62716,              0.6486,             0.58405,            0.011401,           0.0025841,           0.0016709,            0.004258,            0.004258,            0.004258
                  60,            0.015108,           0.0055795,          0.00094778,             0.95192,              0.6219,             0.64707,             0.58017,            0.011416,           0.0025618,            0.002154,            0.004159,            0.004159,            0.004159
                  61,             0.01506,           0.0055932,          0.00083101,             0.93104,             0.62975,             0.66438,             0.60164,            0.011197,           0.0025439,           0.0018494,             0.00406,             0.00406,             0.00406
                  62,            0.014989,           0.0054048,          0.00082974,             0.94402,             0.62012,             0.65473,             0.59327,             0.01124,           0.0025474,           0.0017678,            0.003961,            0.003961,            0.003961
                  63,             0.01484,           0.0054556,          0.00093476,             0.94451,             0.62178,             0.67634,             0.61344,            0.011253,            0.002604,           0.0016704,            0.003862,            0.003862,            0.003862
                  64,            0.014785,           0.0055662,          0.00079561,             0.93484,             0.63025,             0.67235,             0.60511,            0.010929,           0.0024714,           0.0017153,            0.003763,            0.003763,            0.003763
                  65,             0.01459,           0.0053652,          0.00084858,             0.93614,             0.62582,             0.64944,             0.58933,            0.010945,           0.0024507,           0.0019908,            0.003664,            0.003664,            0.003664
                  66,            0.014517,           0.0053653,          0.00079111,             0.93408,             0.63062,             0.67498,              0.6117,            0.010986,           0.0024407,           0.0019013,            0.003565,            0.003565,            0.003565
                  67,             0.01424,           0.0053196,           0.0007054,             0.93322,             0.64117,             0.66901,             0.60671,            0.010975,           0.0024549,           0.0016328,            0.003466,            0.003466,            0.003466
                  68,            0.014154,           0.0052723,          0.00067476,             0.94358,             0.63041,             0.65992,             0.59965,            0.010774,           0.0024047,           0.0015472,            0.003367,            0.003367,            0.003367
                  69,            0.014167,           0.0052954,           0.0007594,             0.93694,             0.62963,             0.66358,             0.59937,            0.010825,           0.0024272,             0.00151,            0.003268,            0.003268,            0.003268
                  70,            0.013941,           0.0052428,           0.0007506,             0.94623,              0.6263,             0.65135,             0.59066,            0.010832,           0.0024397,           0.0016025,            0.003169,            0.003169,            0.003169
                  71,            0.014219,           0.0052269,          0.00068504,             0.93464,             0.63157,             0.66483,             0.60594,            0.010771,           0.0024349,           0.0017981,             0.00307,             0.00307,             0.00307
                  72,            0.014146,           0.0053433,          0.00072197,             0.94142,             0.62754,             0.66334,             0.60435,            0.010812,           0.0024575,             0.00181,            0.002971,            0.002971,            0.002971
                  73,            0.013941,           0.0052415,           0.0006095,              0.9403,             0.62935,             0.65616,             0.59846,             0.01082,           0.0024303,           0.0020041,            0.002872,            0.002872,            0.002872
                  74,            0.013538,           0.0051137,          0.00063313,             0.94522,             0.62149,             0.65566,             0.59752,            0.010759,           0.0024517,           0.0018486,            0.002773,            0.002773,            0.002773
                  75,            0.013767,           0.0052221,          0.00064239,             0.93899,             0.63074,             0.65543,             0.59707,            0.010746,           0.0024658,           0.0019034,            0.002674,            0.002674,            0.002674
                  76,            0.013539,           0.0051023,          0.00078404,             0.94209,             0.62922,             0.65876,             0.60421,            0.010642,           0.0024259,           0.0019322,            0.002575,            0.002575,            0.002575
                  77,              0.0135,           0.0051664,          0.00050726,             0.94207,             0.62711,             0.65797,              0.6014,             0.01054,           0.0024102,           0.0020844,            0.002476,            0.002476,            0.002476
                  78,            0.013566,           0.0052108,          0.00073233,              0.9443,             0.63188,             0.65919,             0.60594,            0.010357,           0.0023764,            0.001786,            0.002377,            0.002377,            0.002377
                  79,            0.013359,           0.0050998,          0.00059924,              0.9418,             0.62833,             0.65967,             0.60288,            0.010434,           0.0023967,           0.0018214,            0.002278,            0.002278,            0.002278
                  80,            0.013322,           0.0051759,          0.00057459,             0.94309,             0.62755,             0.65683,             0.60554,            0.010411,           0.0023706,           0.0017844,            0.002179,            0.002179,            0.002179
                  81,              0.0132,           0.0050355,          0.00068221,             0.94146,             0.62954,             0.66223,             0.60429,            0.010391,           0.0023579,           0.0017157,             0.00208,             0.00208,             0.00208
                  82,            0.013052,           0.0050625,          0.00055564,             0.94302,             0.63063,             0.66144,             0.60433,            0.010432,           0.0023503,            0.001686,            0.001981,            0.001981,            0.001981
